City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Jashpurnagar,IN,22.9,84.15,79.21,70,82,6.76,broken clouds
212,Araouane,ML,18.9048,-3.5265,89.91,32,42,7.11,scattered clouds
213,Nishihara,JP,26.1842,127.7558,82.45,67,75,19.57,broken clouds
214,Chokurdakh,RU,70.6333,147.9167,24.06,89,100,23.67,light snow
215,Santa Maria,BR,-29.6842,-53.8069,54.45,80,0,5.44,clear sky
216,Teya,RU,60.3778,92.6267,40.15,73,100,12.39,overcast clouds
217,Caucaia,BR,-3.7361,-38.6531,80.04,78,40,10.36,scattered clouds
218,Codrington,AU,-38.2667,141.9667,54.32,54,48,16.22,scattered clouds
219,Arsk,RU,56.0915,49.8778,47.16,83,97,11.01,overcast clouds
220,Niono,ML,14.2526,-5.993,80.22,57,68,7.16,broken clouds
221,Polis,CY,35.0367,32.4264,67.82,92,0,1.43,clear sky
222,Lasa,IT,46.6166,10.7002,45.36,72,38,2.3,scattered clouds
223,New London,US,41.4834,-72.0662,58.12,60,100,16.11,overcast clouds
224,Carndonagh,IE,55.25,-7.2667,47.86,84,47,9.78,scattered clouds
225,Airai,TL,-8.9266,125.4092,79.05,45,7,5.14,clear sky
226,Pierre,US,44.3683,-100.351,40.28,75,0,3.44,clear sky
227,Kloulklubed,PW,7.0419,134.2556,88.3,66,97,4.72,overcast clouds
228,Mount Isa,AU,-20.7333,139.5,89.37,31,82,16.11,broken clouds
229,Sangod,IN,24.9167,76.2833,79.21,80,99,8.03,light rain
230,Suba,PH,10.8438,121.0102,84.06,74,100,10.85,light rain
231,Pori,FI,61.4833,21.7833,53.67,87,75,12.66,light rain
232,Mchinji,MW,-13.7984,32.8802,70.52,31,0,6.04,clear sky
233,Tottori,JP,35.5,134.2333,66.27,52,40,16.11,scattered clouds
234,Mehamn,NO,71.0357,27.8492,40.91,87,29,9.22,scattered clouds
235,Bay Roberts,CA,47.5999,-53.2648,51.33,95,88,5.99,overcast clouds
236,Shenjiamen,CN,29.9576,122.298,67.3,62,100,10.94,overcast clouds
237,Kuytun,RU,54.3419,101.5036,40.96,45,31,8.86,scattered clouds
238,Vermilion,US,40.1667,-87.7506,43.61,89,54,6.02,broken clouds
239,Alekseyevsk,RU,57.8406,108.3492,36.43,63,100,9.37,overcast clouds
240,Hamilton,US,39.1834,-84.5333,44.78,84,0,8.05,clear sky
241,Clarence Town,AU,-32.5833,151.7833,69.62,97,98,0.85,light rain
242,Panjakent,TJ,39.4952,67.6093,65.88,21,28,4.52,scattered clouds
243,Carnarvon,AU,-24.8667,113.6333,77.76,38,3,12.91,clear sky
244,Faanui,PF,-16.4833,-151.75,77.63,79,19,19.48,light rain
245,Alofi,NU,-19.0595,-169.9187,76.89,78,100,12.66,overcast clouds
246,Nosy Varika,MG,-20.5833,48.5333,71.44,65,39,3.56,scattered clouds
247,Ilheus,BR,-14.7889,-39.0494,72.81,94,54,4.27,broken clouds
248,Hualmay,PE,-11.0964,-77.6139,60.57,85,26,7.78,scattered clouds
249,Leningradskiy,RU,69.3833,178.4167,20.17,76,87,8.77,overcast clouds
250,Villa Bruzual,VE,9.3328,-69.1208,71.96,97,97,2.39,overcast clouds
251,Cockburn Town,TC,21.4612,-71.1419,83.23,72,19,20.49,few clouds
252,Suzun,RU,53.7841,82.3116,52.75,55,100,8.3,overcast clouds
253,Itoman,JP,26.1247,127.6694,83.17,66,75,19.57,broken clouds
254,Humaita,BR,-7.5061,-63.0208,79.29,62,60,6.38,broken clouds
255,Mar Del Plata,AR,-38.0023,-57.5575,60.1,86,100,12.66,shower rain
256,Turukhansk,RU,65.8167,87.9833,34.86,100,100,15.75,light snow
257,Sisimiut,GL,66.9395,-53.6735,31.37,84,100,14.97,light snow
258,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,86,90,3.58,overcast clouds
259,Barrow,US,71.2906,-156.7887,33.82,86,100,21.85,mist
260,Pala,TD,9.3642,14.9046,68.23,92,66,4.36,broken clouds
261,Codajas,BR,-3.8367,-62.0569,78.44,51,46,2.75,scattered clouds
262,Bonnyville,CA,54.2668,-110.735,49.8,57,82,6.98,broken clouds
263,Ambilobe,MG,-13.2,49.05,80.69,37,11,7.67,few clouds
264,Kruisfontein,ZA,-34.0033,24.7314,58.41,73,80,5.84,broken clouds
265,Progreso,MX,21.2833,-89.6667,77.11,84,57,9.31,broken clouds
266,Zhigansk,RU,66.7697,123.3711,26.13,85,100,12.68,overcast clouds
